Authors,Title,URL,Journal,Vol,No,pp,Year
Michael P. Frank; A. J. Edwards,Industry perspective: Limits of energy efficiency for conventional CMOS and the need for adiabatic reversible computing,https://doi.org/10.1063/5.0279617,APL Electronic Devices,1,,030902,2025 
A. J. Edwards; K. Doleh; L. Humphrey; C. M. Linseisen; M. D. Kitcher; J. M. Martin; C. Cui; J. A. C. Incorvia; F. Garcia-Sanchez; N. Hassan; J. S. Friedman,Kinematic model of magnetic domain wall motion for fast; high-accuracy simulations,https://journals.aps.org/prapplied/abstract/10.1103/v9tg-9l9r,Physical Review Applied,24,,034020,2025
A. J. Edwards; E. C. Usih; P. Zhou; B. A. Hill; S. Martindell; T. Qi; D. Biswas; X. Hu; S. Mysore Panduranga; J. S. Friedman,Experimental Demonstration of Stochastic Bayesian Inference Using Müller C-Elements,https://ieeexplore.ieee.org/document/11098964,IEEE Transactions on Very Large Scale Integration Systems,33,11,,2025
P. Zhou; A. J. Edwards; F. B. Mancoff; S. Aggarwal; S. K. Heinrich-Barna; J. S. Friedman,Neuromorphic Hebbian learning with magnetic tunnel junctions,https://www.nature.com/articles/s44172-025-00479-2,communications engineering,4,,142,2025
A. J. Edwards ; N. Hassan; J. D. Arzate; A. N. Chin; D. Bhattacharya; M. M. Shihab; P. Zhou; X. Hu; J. Atulasimha; Y. Makris; J. S. Friedman,Physically Secure Logic Locking with Nanomagnet Logic,https://ieeexplore.ieee.org/document/10611730,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,1,105-118,2025
E. C. Usih; N. Hassan; A. J. Edwards; F. Garcia-Sanchez; P. Khalili Amiri; J. S. Friedman,Toggle SOT-MRAM Architecture with Self-Terminating Write Operation,https://ieeexplore.ieee.org/document/10710331,IEEE Transactions on Very Large Scale Integration Systems,33,2,337-345,2025
A. J. Edwards ; G. Krylov; J. S. Friedman; E. G. Friedman,Harnessing Stochasticity for Superconductive Multi-Layer Spike-Rate-Coded Neuromorphic Networks,https://iopscience.iop.org/article/10.1088/2634-4386/ad207a,Neuromorphic Computing and Engineering,4,,014005,2024
A. J. Edwards ; D. Bhattacharya; P. Zhou; N. R. McDonald; W. Al Misba; L. Loomis; F. Garcia-Sanchez; N. Hassan; X. Hu; M. F. Chowdhury; C. D. Thiem; J. Atulasimha; J. S. Friedman,Passive Frustrated Nanomagnet Reservoir Computing,https://www.nature.com/articles/s42005-023-01324-8,Communications Physics,6,,215,2023
X. Hu; C. Cui; S. Liu; F. Garcia-Sanchez; W. H. Brigner; B. W. Walker; A. J. Edwards ; T. P. Xiao; C. Bennett; N. Hassan; M. P. Frank; J. A. C. Incorvia; J. S. Friedman,Magnetic Skyrmions and Domain Walls for Logical and Neuromorphic Computing,https://iopscience.iop.org/article/10.1088/2634-4386/acc6e8/meta,Neuromorphic Computing and Engineering,3,2,022003,2023
M. F. Chowdhury; W. Al Misba; M. M. Rajib; A. J. Edwards ; D. Bhattacharya; M. S. Varghese; J. S. Friedman; J. Atulasimha,Focused Surface Acoustic Wave Induced Nano-Oscillator based Reservoir Computing,https://aip.scitation.org/doi/10.1063/5.0110769,Applied Physics Letters,121,10,102402,2022
X. Hu; B. W. Walker; F. Garcia-Sanchez; A. J. Edwards ; P. Zhou; J. A. C. Incorvia; A. Paler; M. P. Frank; J. S. Friedman,Logical and Physical Reversibility of Conservative Skyrmion Logic,https://ieeexplore.ieee.org/document/9772937,IEEE Magnetics Letters,13,,4503805,2022
